primaryTitle,similarity %
The French Connection,100.0
The Italian Connection,96.2
The French Revolution,95.9
The French,95.3
The French Dispatch,95.2
The Sicilian Connection,95.1
The Acadian Connection,95.1
The French Kissers,94.4
The French Detective,94.4
The Brazilian Connection,94.2
